id,parent_id/id,code,name
__export__.sni_80,,80,Säkerhets- och bevakningsverksamhet
__export__.sni_81,,81,Fastighetsservice samt skötsel och underhåll av grönytor
__export__.sni_82,,82,Kontorstjänster och andra företagstjänster
__export__.sni_84,,84,Offentlig förvaltning och försvar;  obligatorisk socialförsäkring
__export__.sni_85,,85,Utbildning
__export__.sni_86,,86,Hälso- och sjukvård
__export__.sni_87,,87,Vård och omsorg med boende
__export__.sni_88,,88,Öppna sociala insatser
__export__.sni_90,,90,Konstnärlig och kulturell verksamhet samt underhållningsverksamhet
__export__.sni_91,,91,"Biblioteks-, arkiv- och museiverksamhet m.m."
__export__.sni_92,,92,Spel- och vadhållningsverksamhet
__export__.sni_93,,93,"Sport-, fritids- och nöjesverksamhet"
__export__.sni_94,,94,Intressebevakning; religiös verksamhet
__export__.sni_95,,95,"Reparation av datorer, hushållsartiklar och personliga artiklar"
__export__.sni_96,,96,Andra konsumenttjänster
__export__.sni_97,,97,Förvärvsarbete i hushåll
__export__.sni_98,,98,Hushållens produktion av diverse varor och tjänster för eget bruk
__export__.sni_99,,99,"Verksamhet vid internationella organisationer, utländska ambassader o.d."
__export__.sni_011,,011,Odling av ett- och tvååriga växter
__export__.sni_012,,012,Odling av fleråriga växter
__export__.sni_013,,013,Odling av plantskoleväxter
__export__.sni_014,,014,Husdjursskötsel
__export__.sni_015,,015,Blandat jordbruk
__export__.sni_016,,016,Service till jordbruk och bearbetning av skördade växter
__export__.sni_017,,017,Jakt och service i anslutning härtill
__export__.sni_021,,021,Skogsförvaltning och skogsskötsel
__export__.sni_022,,022,Drivning
__export__.sni_023,,023,Insamling av annat vilt växande skogsmaterial än trä
__export__.sni_024,,024,Service till skogsbruk
__export__.sni_031,,031,Fiske
__export__.sni_032,,032,Vattenbruk
__export__.sni_051,,051,Stenkolsutvinning
__export__.sni_052,,052,Brunkolsutvinning
__export__.sni_061,,061,Utvinning av råpetroleum
__export__.sni_062,,062,Utvinning av naturgas
__export__.sni_071,,071,Järnmalmsutvinning
__export__.sni_072,,072,Utvinning av andra metallmalmer än järnmalm
__export__.sni_081,,081,"Utvinning av sand, grus, sten och lera"
__export__.sni_089,,089,Övrig utvinning av mineral
__export__.sni_091,,091,Stödtjänster till råpetroleum- och naturgasutvinning
__export__.sni_099,,099,Stödtjänster till annan utvinning
__export__.sni_101,,101,Beredning och hållbarhetsbehandling av kött och köttvaror
__export__.sni_102,,102,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur
__export__.sni_103,,103,"Beredning och hållbarhetsbehandling av frukt, bär och grönsaker"
__export__.sni_104,,104,Framställning av vegetabiliska och animaliska oljor och fetter
__export__.sni_105,,105,Mejerivaru- och glasstillverkning
__export__.sni_106,,106,Tillverkning av kvarnprodukter och stärkelse
__export__.sni_107,,107,Tillverkning av bageri- och mjölprodukter
__export__.sni_108,,108,Annan livsmedelsframställning
__export__.sni_109,,109,Framställning av beredda djurfoder
__export__.sni_110,,110,Framställning av drycker
__export__.sni_120,,120,Tobaksvarutillverkning
__export__.sni_131,,131,Garntillverkning
__export__.sni_132,,132,Vävnadstillverkning
__export__.sni_133,,133,"Blekning, färgning och annan textilberedning"
__export__.sni_139,,139,Annan textilietillverkning
__export__.sni_141,,141,"Tillverkning av kläder, utom pälsvaror"
__export__.sni_142,,142,Tillverkning av pälsvaror
__export__.sni_143,,143,Tillverkning av trikåvaror
__export__.sni_151,,151,"Garvning och annan läderberedning; tillverkning av reseffekter, handväskor, sadel- och seldon; pälsberedning"
__export__.sni_152,,152,Tillverkning av skodon
__export__.sni_161,,161,Sågning och hyvling av trä
__export__.sni_162,,162,"Tillverkning av varor av trä, kork, halm, rotting o.d."
__export__.sni_171,,171,"Massa-, pappers- och papptillverkning"
__export__.sni_172,,172,Tillverkning av pappers- och pappvaror
__export__.sni_181,,181,Grafisk produktion
__export__.sni_182,,182,Reproduktion av inspelningar
__export__.sni_191,,191,Tillverkning av stenkolsprodukter
__export__.sni_192,,192,Petroleumraffinering
__export__.sni_201,,201,"Tillverkning av baskemikalier, gödselmedel och kväveprodukter, plaster och syntetgummi i obearbetad form"
__export__.sni_202,,202,Tillverkning av bekämpningsmedel och andra lantbrukskemiska produkter
__export__.sni_203,,203,"Tillverkning av färg, lack, tryckfärg m.m."
__export__.sni_204,,204,"Tillverkning av rengöringsmedel, parfym och toalettartiklar"
__export__.sni_205,,205,Tillverkning av andra kemiska produkter
__export__.sni_206,,206,Konstfibertillverkning
__export__.sni_211,,211,Tillverkning av farmaceutiska basprodukter
__export__.sni_212,,212,Tillverkning av läkemedel
__export__.sni_221,,221,Tillverkning av gummivaror
__export__.sni_222,,222,Plastvarutillverkning
__export__.sni_231,,231,Glas- och glasvarutillverkning
__export__.sni_232,,232,Tillverkning av eldfasta produkter
__export__.sni_233,,233,Tillverkning av byggmaterial av lergods
__export__.sni_234,,234,Tillverkning av andra porslinsprodukter och keramiska produkter
__export__.sni_235,,235,"Tillverkning av cement, kalk och gips"
__export__.sni_236,,236,"Tillverkning av varor av betong, cement och gips"
__export__.sni_237,,237,"Huggning, formning och slutlig bearbetning av sten"
__export__.sni_239,,239,Tillverkning av slipmedel och övriga icke-metalliska mineraliska produkter
__export__.sni_241,,241,Framställning av järn och stål samt ferrolegeringar
__export__.sni_242,,242,"Tillverkning av rör, ledningar, ihåliga profiler och tillbehör av stål"
__export__.sni_243,,243,Annan primärbearbetning av stål
__export__.sni_244,,244,Framställning av andra metaller än järn
__export__.sni_245,,245,Gjutning av metall
__export__.sni_251,,251,Byggnadsmetallvarutillverkning
__export__.sni_252,,252,"Tillverkning av cisterner, tankar, kar och andra behållare av metall"
__export__.sni_253,,253,Tillverkning av ånggeneratorer utom varmvattenpannor för centraluppvärmning
__export__.sni_254,,254,Tillverkning av vapen och ammunition
__export__.sni_255,,255,"Smidning, pressning, prägling och valsning av metall; pulvermetallurgi"
__export__.sni_256,,256,Beläggning och överdragning av metall; metallegoarbeten
__export__.sni_257,,257,"Tillverkning av bestick, verktyg och andra järnhandelsvaror"
__export__.sni_259,,259,Annan metallvarutillverkning
__export__.sni_261,,261,Tillverkning av elektroniska komponenter och kretskort
__export__.sni_262,,262,Tillverkning av datorer och kringutrustning
__export__.sni_263,,263,Tillverkning av kommunikationsutrustning
__export__.sni_264,,264,Tillverkning av hemelektronik
__export__.sni_265,,265,"Tillverkning av instrument och apparater för mätning, provning och navigering samt ur"
__export__.sni_266,,266,Tillverkning av strålningsutrustning samt elektromedicinsk och elektroterapeutisk utrustning
__export__.sni_267,,267,Tillverkning av optiska instrument och fotoutrustning
__export__.sni_268,,268,Tillverkning av magnetiska och optiska medier
__export__.sni_271,,271,"Tillverkning av elmotorer, generatorer och transformatorer samt eldistributions- och elkontrollapparater"
__export__.sni_272,,272,Batteri- och ackumulatortillverkning
__export__.sni_273,,273,Tillverkning av ledningar och kablar och kabeltillbehör
__export__.sni_274,,274,Tillverkning av belysningsarmatur
__export__.sni_275,,275,Tillverkning av hushållsmaskiner och hushållsapparater
__export__.sni_279,,279,Tillverkning av annan elapparatur
__export__.sni_281,,281,Tillverkning av maskiner för allmänt ändamål
__export__.sni_282,,282,Tillverkning av andra maskiner för allmänt ändamål
__export__.sni_283,,283,Tillverkning av jord- och skogsbruksmaskiner
__export__.sni_284,,284,Tillverkning av maskiner för metallbearbetning och verktygsmaskiner
__export__.sni_289,,289,Tillverkning av andra specialmaskiner
__export__.sni_291,,291,Motorfordonstillverkning
__export__.sni_292,,292,Tillverkning av karosserier för motorfordon; tillverkning av släpfordon och påhängsvagnar
__export__.sni_293,,293,Tillverkning av delar och tillbehör till motorfordon
__export__.sni_301,,301,Byggande av fartyg och båtar
__export__.sni_302,,302,Tillverkning av rälsfordon
__export__.sni_303,,303,"Tillverkning av luftfartyg, rymdfarkoster o.d."
__export__.sni_304,,304,Tillverkning av militära stridsfordon
__export__.sni_309,,309,Övrig tillverkning av transportmedel
__export__.sni_310,,310,Tillverkning av möbler
__export__.sni_321,,321,"Tillverkning av smycken, guld- och silversmedsvaror samt bijouterier"
__export__.sni_322,,322,Tillverkning av musikinstrument
__export__.sni_323,,323,Tillverkning av sportartiklar
__export__.sni_324,,324,Tillverkning av spel och leksaker
__export__.sni_325,,325,Tillverkning av medicinsk och dental utrustning
__export__.sni_329,,329,Övrig tillverkning
__export__.sni_331,,331,"Reparation av metallvaror, maskiner och apparater"
__export__.sni_332,,332,Installation av industrimaskiner och -utrustning
__export__.sni_351,,351,"Generering, överföring och distribution av elkraft"
__export__.sni_352,,352,Gasförsörjning; distribution av gasformiga bränslen via rörnät
__export__.sni_353,,353,Försörjning av värme och kyla
__export__.sni_360,,360,Vattenförsörjning
__export__.sni_370,,370,Avloppsrening
__export__.sni_381,,381,Insamling av avfall
__export__.sni_382,,382,Behandling och bortskaffande av avfall
__export__.sni_383,,383,Återvinning
__export__.sni_390,,390,"Sanering, efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning"
__export__.sni_411,,411,Utformning av byggprojekt
__export__.sni_412,,412,Byggande av bostadshus och andra byggnader
__export__.sni_421,,421,Anläggning av vägar och järnvägar
__export__.sni_422,,422,Allmännyttiga anläggningsarbeten
__export__.sni_429,,429,Andra anläggningsarbeten
__export__.sni_431,,431,Rivning av hus samt mark- och grundarbeten
__export__.sni_432,,432,"Elinstallationer, VVS-arbeten och andra bygginstallationer"
